,nickname,text,score,like,dislike,time,watch_movie
20,우혀닝바라긔(jy07****),그냥 너무좋다♥ 스토리도재미잇고 배우들도연기너무잘한것같다♥,10,0,0,2014-02-08 16:48:00,0
21,내 운명의 지배자(kos4****),얼른 큰 병원으로 갔어야지,8,0,0,2014-02-02 15:22:00,0
22,kyyt****,오랜만에감성적멜로에울어보내요ㅠ요즘왜이런영화가개봉을안하는지...진짜최고였습니다!,10,0,0,2014-02-02 03:48:00,0
23,눈꽃가득(sama****),"뻔할뻔 스토리이지만, 이렇게 오랜만에 실컷 울어보기도 오랜만. 마음이 꽤나 아픈.",9,0,0,2014-01-30 14:35:00,0
24,Sosein(01aj****),재미있게 잘봤는데... 여주를 비련의 여인으로 만드는 바람에 빈정상했음.,6,0,0,2014-01-30 13:36:00,0
25,spac****,"중국배우들이 등장하는 한국감독 한국제작자가만든 작품 우선 여주신공의 매력이넘친다 남주도 괜찮으나 왠지 원숭이형 뻔한사랑얘기였으나, 10대20대초반에게는 그래도 와닿지 않을까 중국흥행성적이 궁금하다 조금은 눈물짓게 하...",8,0,0,2014-01-28 20:22:00,0
26,시우(qupi****),해피엔딩이었으면 더욱 좋았겠지만... 영화 보는 내내 눈물이 줄줄줄...주인공들 예쁘고 잘생기고...굿... 나도 이런사랑을 해볼수있길,10,0,0,2014-01-27 16:34:00,0
27,annj****,"뻔히 보이는 이야기 전개! 하지만 나도 모르게 보는동안  눈시울이 붉어지는 영화! 아직 안보신분들은 꼭 보세요.,,",10,0,0,2014-01-27 01:25:00,0
28,KCM(hyki****),너무나도 사랑스럽고 눈물 겨운 이야기 뻔하지만 사랑하는 사람을 떠올리게하는 그런 아름다운 영화,10,0,0,2014-01-26 22:38:00,0
29,양군(no_s****),30대 중반 아저씨가 오직 그대만 영화 본 이후로 폭풍 눈물 쏟게한 영화...,10,0,0,2014-01-26 18:22:00,0
30,홍수영(gtd7****),너무너무 재밌어요~~~,10,0,0,2014-01-25 19:53:00,0
