,nickname,text,score,like,dislike,time,watch_movie
18,조희제(91ch****),"파트1,파트2로 나뉜느낌이 들었지만 로맨스영화를 좋아하는 사람이라면 꼭 보기바람",10,27,13,2013-06-26 06:50:00,0
19,현우야(sstj****),전 이런 영화 너무 좋아요..ㅠㅠㅠ,10,23,10,2014-07-19 01:04:00,0
20,매니 파퀴아오(ldy2****),웬만한 막장 아침드라마도 이 영화에게는 상대도 안됨,3,11,6,2018-10-19 00:09:00,0
21,Aimee(amy8****),진부한 스토리라고 하는데... 진부하게 느껴지지 않은.. 몰입하다 보니.. 정말 너무 슬펐습니다! 최고!! 둘의 사랑이 너무 아름다웠어요!!,10,22,17,2013-07-04 02:45:00,0
22,찬찬(chan****),리싱같은 남자친구가 있다는것보다도 마오마오같은 친구가 한명이라도 곁에 있다는게 더 부럽다 나는,8,4,0,2019-11-11 11:50:00,0
23,펜릴(ddrp****),떠나는 사람보다 남겨진 사람의 아픔을 느끼며 본 슬픈 영화.,9,18,14,2013-06-27 00:55:00,0
24,초코주(rock****),맘이아프다 너무...,9,3,0,2019-07-17 00:52:00,0
25,happ****,,10,2,0,2019-11-03 09:46:00,0
26,skullpion(heyj****),"아 엄청 울었네여 ㅠㅠ 차오차오에 엄청 감정몰입되네요.세상에서 가장 슬픈 건, 사랑하는 사람과 이별하는 것이다, 하지만 그것보다 더 슬픈 일이 있다면, 그 이별을 미리 알고 준비하는 것이라 생각합니다...",10,3,1,2019-04-07 21:40:00,0
27,양자매맘(hyun****),뻔하다고 생각하고 기대없이 보다가 가슴이 아파서 한참을 울었다,10,3,1,2019-02-13 00:57:00,0
28,YE(sey9****),5년만에 다시봐도 눈물 왈칵 쏟는 마음 아픈 리싱이와 차오차오의 사랑,10,1,0,2020-08-02 04:50:00,0
29,레오니다스(n26i****),펑펑 울었다..그럼 됐지 뭐,10,1,0,2020-05-13 00:56:00,0
30,벨라뎃다(youn****),영화재미있어요하고싶어요안될까요제발보내드립니다!예네,10,1,0,2020-02-19 22:01:00,0
31,이혜리(cpfl****),ㅠㅠㅠ 진짜 너무좋아하는 영화,10,1,0,2019-11-11 23:32:00,0
32,지앙스포토(jian****),세월이 흘러서도 추억할 만한 내 인생 로맨스 영화,10,1,0,2019-11-04 19:11:00,0
33,새로운 눈(jds9****),눈물 흘리면서 보게될 영화 ㅠㅠ,10,1,0,2017-01-22 00:43:00,0
34,dcle****,진짜 잘만든 신파극!!!4점은 너무 하잖아 평식아!!!!ㅎ,8,1,0,2017-01-16 23:34:00,0
35,윤지(yunj****),..우울할때 봐서 더 움,9,1,0,2017-01-05 13:28:00,0
36,닉네임(hidl****),앞부분의 코미디를 쭉 끌고 갔으면 하는 아쉬움.  우리 스텝이라고 하는데 화면은 영웅본색때 같아서 아쉽기도하고. 좀 더 섬세하게 집요하게 표현되었더라면 좋았을텐데.조연들의 이야기가 주연들과 연결되어도 좋았고.즐거웠는...,6,1,0,2016-06-23 09:27:00,0
37,오다니엘(kill****),백백하가 너무 예쁘네요 뻔한 내용이지만 배우들이 매력적입니다.,10,2,1,2019-05-27 16:25:00,0
38,이솜귤(somg****),뻔한테 묘하게 보게되고 뻔한데 자연스럽데 오열하게 되는 묘한영화 .. 눈이팅팅부었습니다 ..ㅠㅠ,10,2,1,2019-02-28 00:35:00,0
39,웅(adam****),이게어째서 평점이 이렇게 낮은거지.... 영화보고 이런 영화 비슷한거 있나 찾으로 왔는데 어이가없다 ㄷㄷ,10,3,2,2019-01-22 02:21:00,0
40,je11(kje1****),네이버 평점에 속았다..한마디로 삼류영화임. 대본 발로 썼나요 억지 신파에 클리셰 범벅. 영화보고 감동 잘 받는 편인데 억지눈물 짜내기식 영화라 보는 내내 짜증만 났음.진부하지 않은 세련된 멜로는 개뿔 최근 본 영화...,1,0,0,2020-10-03 00:32:00,0
41,똘이(jiyo****),모어댄블루 재밌게 보셨다면 괜찮은것 같아요~,10,0,0,2020-09-08 02:22:00,0
42,원츄영훈(snlo****),또 봐도 슬프네펑펑 울었어요저남자배우 청설에서도 봤는데 연기 잘하네요,10,0,0,2020-09-03 01:08:00,0
43,보라돌이(jcy3****),출중한외모에   연기력도  빛이나는영화간만에 눈물샘자극한영화  잘보고갑니다사랑이 이런거구나  ~ 아픈사랑슬프네요 ㅠ,10,0,0,2020-08-11 18:52:00,0
