형태소,품사,분류,카운트
"""",Punctuation,청설,11
"""",Punctuation,패왕별희,22
""",",Punctuation,말할 수 없는 비밀,1
""",",Punctuation,시절인연,1
""",",Punctuation,청설,1
""".",Punctuation,말할 수 없는 비밀,1
"""..",Punctuation,말할 수 없는 비밀,1
"""...",Punctuation,말할 수 없는 비밀,1
"""...",Punctuation,패왕별희,1
"""......",Punctuation,말할 수 없는 비밀,1
"""^^",Punctuation,말할 수 없는 비밀,1
##,Punctuation,말할 수 없는 비밀,1
#NAME,Hashtag,말할 수 없는 비밀,3
#교육영화,Hashtag,나의 소녀시대,1
%,Punctuation,말할 수 없는 비밀,2
%%^^,Punctuation,말할 수 없는 비밀,1
%^^^^,Punctuation,말할 수 없는 비밀,1
&,Punctuation,그시절 우리가 좋아했던 소녀,3
&,Punctuation,나의 소녀시대,2
&,Punctuation,말할 수 없는 비밀,33
&#...,Punctuation,그시절 우리가 좋아했던 소녀,1
&#...,Punctuation,말할 수 없는 비밀,1
&#...,Punctuation,시절인연,1
&...,Punctuation,그시절 우리가 좋아했던 소녀,1
&...,Punctuation,나의 소녀시대,1
',Punctuation,5일의마중,18
',Punctuation,그시절 우리가 좋아했던 소녀,73
',Punctuation,나의 소녀시대,43
',Punctuation,말할 수 없는 비밀,264
',Punctuation,시절인연,8
',Punctuation,청설,29
',Punctuation,패왕별희,24
'',Punctuation,말할 수 없는 비밀,2
'',Punctuation,시절인연,1
'',Punctuation,청설,2
'';;,Punctuation,말할 수 없는 비밀,1
'';;,Punctuation,시절인연,1
'';;),Punctuation,말할 수 없는 비밀,1
"',",Punctuation,그시절 우리가 좋아했던 소녀,2
"',",Punctuation,말할 수 없는 비밀,1
'-',Punctuation,말할 수 없는 비밀,3
'-'),Punctuation,말할 수 없는 비밀,1
'.,Punctuation,말할 수 없는 비밀,1
'.,Punctuation,패왕별희,2
'...,Punctuation,그시절 우리가 좋아했던 소녀,2
'...,Punctuation,말할 수 없는 비밀,4
':,Punctuation,말할 수 없는 비밀,1
';,Punctuation,말할 수 없는 비밀,1
'_',Punctuation,말할 수 없는 비밀,1
'_;,Punctuation,말할 수 없는 비밀,1
(,Punctuation,5일의마중,8
(,Punctuation,그시절 우리가 좋아했던 소녀,23
(,Punctuation,나의 소녀시대,34
(,Punctuation,말할 수 없는 비밀,111
(,Punctuation,청설,23
(,Punctuation,패왕별희,14
"(""",Punctuation,말할 수 없는 비밀,2
(&,Punctuation,말할 수 없는 비밀,1
(',Punctuation,그시절 우리가 좋아했던 소녀,1
(',Punctuation,말할 수 없는 비밀,1
(+,Punctuation,나의 소녀시대,1
(+...,Punctuation,패왕별희,1
(-,Punctuation,말할 수 없는 비밀,2
(...,Punctuation,패왕별희,1
(=,Punctuation,패왕별희,1
(?),Punctuation,5일의마중,2
(?),Punctuation,그시절 우리가 좋아했던 소녀,7
(?),Punctuation,나의 소녀시대,4
(?),Punctuation,말할 수 없는 비밀,19
(?),Punctuation,청설,3
(?),Punctuation,패왕별희,2
(^,Punctuation,말할 수 없는 비밀,2
),Punctuation,5일의마중,7
),Punctuation,그시절 우리가 좋아했던 소녀,25
),Punctuation,나의 소녀시대,29
),Punctuation,말할 수 없는 비밀,114
),Punctuation,청설,20
),Punctuation,패왕별희,10
)!!!,Punctuation,패왕별희,1
")""",Punctuation,그시절 우리가 좋아했던 소녀,1
)(,Punctuation,나의 소녀시대,1
))()())))(()))(),Punctuation,그시절 우리가 좋아했던 소녀,1
"),",Punctuation,나의 소녀시대,1
"),",Punctuation,말할 수 없는 비밀,2
"),",Punctuation,패왕별희,2
).,Punctuation,나의 소녀시대,1
).,Punctuation,말할 수 없는 비밀,1
)...,Punctuation,청설,1
)>>,Punctuation,청설,1
*,Punctuation,말할 수 없는 비밀,12
*,Punctuation,패왕별희,1
**,Punctuation,나의 소녀시대,1
**,Punctuation,말할 수 없는 비밀,1
*.*,Punctuation,말할 수 없는 비밀,1
*.*,Punctuation,청설,2
*^,Punctuation,말할 수 없는 비밀,1
*^*^*,Punctuation,말할 수 없는 비밀,1
*^^*,Punctuation,나의 소녀시대,1
*^^*,Punctuation,말할 수 없는 비밀,13
*^^*!!,Punctuation,말할 수 없는 비밀,1
*^^^^^^^^,Punctuation,말할 수 없는 비밀,1
*_*,Punctuation,말할 수 없는 비밀,2
+,Punctuation,5일의마중,14
+,Punctuation,그시절 우리가 좋아했던 소녀,4
+,Punctuation,나의 소녀시대,25
+,Punctuation,말할 수 없는 비밀,174
+,Punctuation,시절인연,4
+,Punctuation,청설,11
+,Punctuation,패왕별희,5
+!,Punctuation,나의 소녀시대,1
+),Punctuation,패왕별희,1
++,Punctuation,말할 수 없는 비밀,2
++,Punctuation,청설,1
+++,Punctuation,패왕별희,1
+++++++++++++++++++++++,Punctuation,말할 수 없는 비밀,1
"+,",Punctuation,패왕별희,1
+-+,Punctuation,말할 수 없는 비밀,1
+...,Punctuation,그시절 우리가 좋아했던 소녀,1
+@-@,Punctuation,말할 수 없는 비밀,1
+_+,Punctuation,그시절 우리가 좋아했던 소녀,1
+_+,Punctuation,말할 수 없는 비밀,21
+_+,Punctuation,청설,5
+_+!,Punctuation,말할 수 없는 비밀,1
+_+),Punctuation,말할 수 없는 비밀,1
+_+~,Punctuation,말할 수 없는 비밀,1
+__+,Punctuation,말할 수 없는 비밀,1
",",Foreign,말할 수 없는 비밀,1
",",Punctuation,5일의마중,142
",",Punctuation,그시절 우리가 좋아했던 소녀,672
",",Punctuation,나의 소녀시대,337
",",Punctuation,말할 수 없는 비밀,2466
",",Punctuation,시절인연,53
",",Punctuation,청설,254
",",Punctuation,패왕별희,386
",!!",Punctuation,말할 수 없는 비밀,2
",(",Punctuation,말할 수 없는 비밀,1
",,",Punctuation,5일의마중,3
",,",Punctuation,그시절 우리가 좋아했던 소녀,37
",,",Punctuation,나의 소녀시대,28
",,",Punctuation,말할 수 없는 비밀,347
",,",Punctuation,시절인연,1
",,",Punctuation,청설,14
",,",Punctuation,패왕별희,19
",,!!",Punctuation,말할 수 없는 비밀,2
",,!!!",Punctuation,말할 수 없는 비밀,1
",,,",Punctuation,5일의마중,2
",,,",Punctuation,그시절 우리가 좋아했던 소녀,17
",,,",Punctuation,나의 소녀시대,11
",,,",Punctuation,말할 수 없는 비밀,157
",,,",Punctuation,시절인연,1
",,,",Punctuation,청설,6
